,ID,MONTH,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,TARGET,T1,T2,T3,T4
0,1,3.5,38.186688000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87081,0.0,0.0,1.0,0.0,32.8001,29.0,0.0,0.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,653.9105087,7.248508049999999,6.21091305,276.0,3.0,321.0,4.0,88252.0,2,19,1,63,669
1,2,3.5,52.96706999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.066179,1.26213,0.0,0.0,1.0,0.0,62.988918500000004,30.0,0.0,0.0,0.0,30.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,938.9789197499999,15.2105625,8.116336,252.0,30.0,230.0,11.5,29702.0,2,14,6,114,98
2,3,5.0,64.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.16554,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.268274,0.0,0.0,71.0,0.0,46.0,0.0,25857.0,1,5,1,63,669
3,4,3.5,40.5910904,0.0,0.0,0.0,0.0,0.0,0.0,1.2324014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29273699999999997,1.5155239999999999,0.0,0.0,1.0,0.0,45.123575,28.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,38.771,0.0,0.0,0.0,475.6687869,9.282582000000001,15.8945185,280.0,2.5,71.5,3.5,647727.0,3,4,1,134,819
4,5,3.5,44.626190300000005,0.0,0.0,0.0,0.0,0.0,1.0484099999999998,0.0,0.0,9.3991,0.0,2.03994,0.0,0.0,0.0,0.7294725000000001,0.0,0.0,0.0,1.0,0.0,47.8945,30.0,5.0,0.0,2.5,30.0,5.5,0.0,0.0,0.0,0.0,2.5,27.16702096,352.5236989,5.4767124,23.26039,316.0,9.5,387.5,22.0,24175.0,3,13,4,101,427
5,6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249639.0,2,20,4,132,1238
6,8,3.5,195.0574365,0.0,0.0,1.6509659,0.0,1.0438138000000001,10.325415,22.7016756,0.0,79.57668000000001,0.0,12.4308,0.0,0.0,0.0,9.152769000000001,19.8998,0.0,1.5907578999999998,1.0,0.0,179.0579,29.0,28.5,1.5,9.0,29.0,12.0,0.0,0.0,0.0,0.0,13.0,1245.9579402499999,1430.7111995,11.0533228,20.308319349999998,239.0,17.0,140.0,14.5,3475.0,3,16,4,60,1091
7,9,3.5,34.850102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42509015,0.0,0.0,0.0,0.0,0.0,2.6215721000000003,12.6644425,0.0,0.0,1.0,0.0,37.545525,27.5,1.5,0.0,0.0,28.0,4.5,0.0,0.0,19.451,0.0,0.0,10.261109975,684.0944598,3.3225912,10.86843435,263.0,5.0,69.0,16.0,761993.0,2,11,4,114,275
8,10,3.5,60.40716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7421150000000001,0.0,0.0,1.0,0.0,68.29804,23.5,16.0,0.0,0.0,19.0,2.0,0.0,0.0,35.85675,0.0,0.0,133.9863021,500.75263165,1.1311514999999999,3.8109181,158.5,2.0,116.0,3.0,2768.0,3,6,5,69,472
9,13,3.5,112.5899075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.409355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,10.5,9.0,11.0,31.0,6.0,0.0,0.0,0.0,0.0,38.5,546.70952625,1076.00324525,17.4493568,8.185680399999999,732.0,8.5,359.0,28.0,729429.0,3,21,4,6,1344
10,14,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.408556749999999,0.0,0.0,15.0,0.0,44.0,0.0,2051.0,0,18,4,141,338
11,19,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.151116000000002,0.0,0.14031495000000002,50.0,0.0,53.0,0.5,7972.0,3,14,4,114,1072
